tag,spcode,diam1,diam2,length,needles.per.fascicle
1002,PIPO,0.13,0.14,6.3,3
1002,PIPO,0.14,0.15,4.97,3
1002,PIPO,0.14,0.12,4.83,3
1002,PIPO,0.1,0.12,5.79,3
1002,PIPO,0.12,0.14,5.81,3
1005,PIPO,0.16,0.16,6.54,3
1005,PIPO,0.18,0.17,6.28,3
1005,PIPO,0.2,0.18,8.3,3
1005,PIPO,0.17,0.18,7.51,3
1005,PIPO,0.17,0.18,8.43,3
1007,PIPO,0.19,0.19,9.04,3
1007,PIPO,0.17,0.16,5.05,3
1007,PIPO,0.16,0.18,10.47,3
1007,PIPO,0.17,0.18,7.69,3
1007,PIPO,0.17,0.17,8.45,3
1008,PIPO,0.18,0.19,8.17,3
1008,PIPO,0.15,0.15,7.84,3
1008,PIPO,0.18,0.18,7.73,3
1008,PIPO,0.16,0.19,8.91,3
1008,PIPO,0.16,0.18,7.13,3
1009,PIED,0.09,0.11,1.89,2
1009,PIED,0.11,0.09,2,2
1009,PIED,0.09,0.11,1.65,2
1009,PIED,0.13,0.09,2.45,2
1009,PIED,0.09,0.13,2.16,2
1014,PIPO,0.11,0.13,3.64,3
1014,PIPO,0.13,0.13,3.79,3
1014,PIPO,0.13,0.13,4.28,3
1014,PIPO,0.11,0.12,3.15,3
1014,PIPO,0.12,0.11,2.36,3
1016,PIPO,0.12,0.11,2.65,3
1016,PIPO,0.12,0.12,2.65,3
1016,PIPO,0.14,0.14,2.04,3
1016,PIPO,0.11,0.12,2.77,3
1016,PIPO,0.12,0.12,2.71,3
1018,PIPO,0.15,0.15,4.61,3
1018,PIPO,0.12,0.12,4.9,3
1018,PIPO,0.15,0.14,5.9,3
1018,PIPO,0.13,0.16,4,3
1018,PIPO,0.14,0.15,6.01,3
1019,PIED,0.13,0.17,2.39,2
1019,PIED,0.15,0.11,2.82,2
1019,PIED,0.11,0.15,2.65,2
1019,PIED,0.12,0.18,1.9,2
1019,PIED,0.14,0.12,2.67,2
1027,PIED,0.16,0.12,3.72,2
1027,PIED,0.14,0.11,3.05,2
1027,PIED,0.11,0.14,3.08,2
1027,PIED,0.15,0.1,3.17,2
1027,PIED,0.19,0.07,3.36,2
1031,PIED,0.13,0.11,2.14,2
1031,PIED,0.14,0.12,2.57,2
1031,PIED,0.09,0.13,2.78,2
1031,PIED,0.09,0.16,2.55,2
1031,PIED,0.08,0.17,3.07,2
1104,PICE,0.09,0.1,2.6,3
1104,PICE,0.06,0.07,2.6,3
1104,PICE,0.12,0.12,2.6,3
1104,PICE,0.11,0.09,2.6,3
